Model Name,Shadowing,Description,Display As,Dimensions,String Type,String Count,Node Count,Light Count,Est Current (Amps),Channels Per Node, Channel Count,Start Channel,Start Channel No,#Universe(or id):Start Channel,End Channel No,Default Buffer W x H,Preview,Controller Ports,Connection Protocol,Connection Attributes,Controller Name,Controller Type,Protocol,Controller Description,IP,Baud,Universe/Id,Universe Channel,Controller Channel,Active
"Disco Balls {R} (M)","","","Image","Width 73.06in Height 57.59in","Single Color White",1,1,2,,1,1,@Disco Balls {L} (M):1,200,#2:72,200,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,72,72,
"Dumb RGB Items Group",,"Trees- Tomato Row A By Tree (RGBW), Eaves Chase (RGBW), Bushes 3 {C} (RGBW), Bushes 5 {R} RGBW Group (RGBW), Festivus Pole Flood (RGB), Manger Floods {LR} (RGB), Roof Ridgeline (RGB)","ModelGroup",,,,,,,,,,,,,400 x 116,Default
"Eave Pixels 1 {L} Horiz (216)","","","Single Line","Length 217.14in","RGB Nodes",1,216,216,11.88,3,648,!APix16 5v Out #1 Eaves Left Horiz:1,257,#3:1,904,216 x 1,"Default",0,,,"APix16 5v Out #1 Eaves Left Horiz",HolidayCoro AlphaPix 16,E131,"Eave Pixels Left Horizontal Strip",10.3.12.16,,3,1,1,
"Eave Pixels 2 {L} Diag (188)","","","Single Line","Length 187.57in","RGB Nodes",1,188,188,10.34,3,564,!APix16 5V Out #2 Eaves Left Diag:1,905,#5:1,1468,188 x 1,"Default",0,,,"APix16 5V Out #2 Eaves Left Diag",HolidayCoro AlphaPix 16,E131,"Eave Pixels Center-Left Diagonal Strip",10.3.12.16,,5,1,1,
"Eave Pixels 3 {R} Diag (184)","","","Single Line","Length 184.76in","RGB Nodes",1,184,184,10.12,3,552,!APix16 5V Out #3 Eaves Right Diag:1,1469,#7:1,2020,184 x 1,"Default",0,,,"APix16 5V Out #3 Eaves Right Diag",HolidayCoro AlphaPix 16,E131,"Eave Pixels Center-Right Diagonal Strip",10.3.12.16,,7,1,1,
"Eave Pixels 4 {R} Horiz (250)","","","Single Line","Length 251.15in","RGB Nodes",1,250,250,13.75,3,750,!APix16 5V Out #4 Eaves Right Horiz:1,2021,#9:1,2770,250 x 1,"Default",0,,,"APix16 5V Out #4 Eaves Right Horiz",HolidayCoro AlphaPix 16,E131,"Eave Pixels Right Horizontal Strip",10.3.12.16,,9,1,1,
"Eave Pixels- All",,"Eave Pixels 1 {L} Horiz (216), Eave Pixels 2 {L} Diag (188), Eave Pixels 3 {R} Diag (184), Eave Pixels 4 {R} Horiz (250)","ModelGroup",,,,,,,,,,,,,400 x 71,Default
"Eaves Chase (RGBW)",,"Eaves Chase 1 (R), Eaves Chase 2 (G), Eaves Chase 3 (B), Eaves Chase 4 (W)","ModelGroup",,,,,,,,,,,,,400 x 74,Default
"Eaves Chase 1 (R)","","","Poly Line","Length 1322.54in","Single Color Red",1,1,200,,1,1,193,193,#2:65,193,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,65,65,
"Eaves Chase 2 (G)","","","Poly Line","Length 1322.54in","Single Color Green",1,1,200,,1,1,>Eaves Chase 1 (R):1,194,#2:66,194,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,66,66,
"Eaves Chase 3 (B)","","","Poly Line","Length 1323.24in","Single Color Blue",1,1,200,,1,1,>Eaves Chase 2 (G):1,195,#2:67,195,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,67,67,
"Eaves Chase 4 (W)","","","Poly Line","Length 1322.54in","Single Color White",1,1,200,,1,1,>Eaves Chase 3 (B):1,196,#2:68,196,1 x 1,"Default",0,,,"APix16 DMX Output 2 Right Yard",HolidayCoro AlphaPix 16,E131,"AC & DC Controllers in the Garage & Right Yard",10.3.12.16,,2,68,68,
"Fence Swags 01 {LB}","","","Arches","Length 52.04in Height 26.02in","RGB Nodes",1,16,16,0.88,3,48,>Fence Swags 02 {L}:1,9965,#27:451,10012,16 x 1,"Default",0,,,"APix16 12V Out #16 Pixel Fence",HolidayCoro AlphaPix 16,E131,"Fence of Pixel Swags on Candy Canes",10.3.12.16,,27,451,961,
